7859 - [126] 34,6 
7899 - [107] 34,6 
7903 - [6] 34,6 
7904 - [82] 34,6 
7913 - [313] 34,6 
7923 - [214] 56,6 
7963 - [151] 34,6 
8001 - [22] 56,6 
8026 - [277] 37,7 
8029 - [18] 161,9 
8030 - [108] 34,6 
8046 - [167] 34,6 
8062 - [393] 34,6 
8075 - [22] 34,6 
8079 - [20] 35,6 
8091 - [54] 35,6 
8210 - [17] 126,7 
8282 - [200] 116,7 
8288 - [237] 51,6 
8296 - [92] 126,7 
8298 - [187] 51,6 
8337 - [41] 37,7 
8395 - [414] 37,7 
8402 - [44] 49,1 
8405 - [8] 37,7 
8418 - [87] 71,9 
8420 - [81] 49,1 
8431 - [67] 56,6 
8444 - [31] 56,6 
8484 - [23] 37,7 
8498 - [47] 51,6 
8502 - [214] 72,9 
8550 - [98] 56,6 
8556 - [271] 56,9 
8600 - [11] 49,1 
8618 - [171] 114,6 
8625 - [217] 37,7 
8636 - [23] 116,7 
8669 - [233] 37,7 
8673 - [689] 37,7 
8675 - [606] 37,7 
8681 - [898] 37,7 
8690 - [168] 41,2 
8767 - [82] 49,1 
8776 - [213] 51,6 
8796 - [183] 56,6 
8799 - [113] 133,3 
8800 - [86] 51,6 
8805 - [36] 56,6 
8813 - [36] 37,7 
8815 - [45] 41,2 
8823 - [71] 96,9 
8828 - [206] 37,7 
8853 - [581] 37,7 
8866 - [213] 37,7 
8885 - [435] 37,7 
8913 - [104] 41,2 
8919 - [26] 49,1 
8932 - [174] 116,7 
8945 - [15] 51,6 
8998 - [339] 93,5 
9004 - [216] 41,2 
9018 - [530] 51,6 
9021 - [151] 56,6 
9033 - [201] 49,1 
9051 - [74] 41,2 
9059 - [68] 66,4 
9065 - [67] 51,6 
9093 - [18] 51,6 
9107 - [88] 49,1 
9127 - [73] 51,6 
9132 - [100] 71,1 
9150 - [501] 71,8 
9152 - [215] 51,6 
9157 - [140] 51,6 
9163 - [139] 49,1 
9165 - [62] 74,7 
9219 - [246] 49,1 
9225 - [44] 71,8 
9251 - [331] 51,6 
9256 - [1190] 56,6 
9285 - [308] 56,6 
9300 - [123] 51,6 
9311 - [7] 49,1 
9321 - [8] 51,6 
9350 - [183] 74,3 
9367 - [49] 49,1 
9375 - [51] 42,2 
9383 - [114] 41,2 
9390 - [396] 41,2 
9396 - [66] 41,2 
9401 - [63] 41,2 
9405 - [69] 93,5 
9406 - [37] 72,9 
9415 - [53] 51,6 
9421 - [89] 41,2 
9433 - [152] 51,6 
9436 - [166] 56,6 
9477 - [5] 51,6 
9481 - [45] 49,1 
9498 - [143] 49,1 
9525 - [64] 56,6 
9542 - [76] 49,1 
9570 - [348] 42,2 
9571 - [427] 41,2 
9578 - [49] 56,6 
9588 - [85] 51,6 
9712 - [243] 73,2 
9715 - [35] 56,6 
9739 - [21] 71,8 
9763 - [345] 49,1 
9774 - [777] 51,6 
9780 - [408] 56,6 
9785 - [81] 56,6 
9801 - [259] 71,8 
9813 - [30] 56,6 
9823 - [96] 49,1 
10119 - [679] 126,7 
10123 - [17] 56,6 
10186 - [763] 56,6 
10187 - [36] 51,2 
10214 - [62] 56,6 
10239 - [320] 126,7 
10252 - [53] 161,3 
10254 - [97] 51,6 
10259 - [245] 116,7 
10280 - [405] 51,6 
10288 - [83] 51,6 
10308 - [71] 51,6 
10316 - [310] 56,9 
10335 - [101] 49,1 
10341 - [49] 71,9 
10344 - [116] 49,1 
10351 - [227] 56,9 
10373 - [53] 49,1 
10382 - [84] 56,9 
10413 - [33] 49,1 
10429 - [43] 51,6 
10456 - [91] 51,6 
10484 - [264] 51,6 
10495 - [512] 49,1 
10500 - [384] 56,9 
10503 - [46] 51,6 
10510 - [0] 51,6 
10536 - [15] 49,1 
10583 - [386] 56,9 
10616 - [340] 49,1 
10644 - [58] 71,8 
10689 - [43] 51,6 
10714 - [382] 49,1 
10729 - [55] 51,6 
10764 - [137] 49,1 
10787 - [125] 49,1 
10843 - [78] 51,6 
10847 - [149] 56,9 
10899 - [205] 56,9 
10914 - [81] 56,9 
10920 - [118] 56,9 
10926 - [473] 56,9 
10937 - [154] 56,9 
10977 - [159] 142,8 
11004 - [112] 56,9 
11008 - [441] 127,7 
11016 - [31] 56,9 
11029 - [52] 56,9 
11044 - [299] 56,9 
11047 - [140] 56,9 
11052 - [24] 51,6 
11066 - [188] 51,6 
11078 - [197] 51,6 
11081 - [165] 49,1 
11091 - [26] 51,6 
11096 - [80] 49,1 
11104 - [149] 49,1 
11115 - [226] 51,6 
11116 - [74] 49,1 
11125 - [39] 71,9 
11223 - [136] 51,0 
11281 - [21] 49,1 
11361 - [46] 90,6 
11372 - [336] 79,8 
11376 - [314] 56,9 
11398 - [34] 127,7 
11420 - [128] 56,9 
11534 - [237] 56,9 
11556 - [79] 117,9 
11616 - [45] 56,6 
11652 - [136] 71,9 
11661 - [32] 72,9 
11695 - [57] 71,9 
11723 - [508] 71,9 
11755 - [711] 56,9 
11804 - [19] 127,7 
11811 - [156] 56,9 
11822 - [69] 56,9 
11825 - [49] 56,9 
11833 - [178] 93,3 
11836 - [46] 56,9 
11842 - [25] 93,5 
11848 - [18] 56,9 
11882 - [24] 64,4 
11895 - [26] 93,5 
11916 - [155] 93,5 
11926 - [180] 71,8 
11929 - [277] 71,9 
11935 - [326] 71,9 
11940 - [186] 71,8 
11949 - [14] 56,9 
11951 - [215] 72,9 
12056 - [71] 71,9 
12108 - [192] 81,4 
12206 - [206] 93,5 
12318 - [61] 71,8 
12321 - [2] 71,9 
